,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
0,ЕкатеринодарИнвест-Строй,developer,https://krasnodar.cian.ru/sale/flat/294670713/,Краснодар,sale,flat,2,17,1,35.6,7333600,,,,,Екатерининский парк
1,ESTATE,real_estate_agent,https://krasnodar.cian.ru/sale/flat/300044229/,Краснодар,sale,flat,11,25,1,39.0,7800000,мкр. Школьный, Школьная,1,,Сердце
2,AVA,developer,https://krasnodar.cian.ru/sale/flat/301513091/,Краснодар,sale,flat,3,12,1,41.6,6539520,мкр. 9-й километр, Ярославская,115лит3,,Небо
3,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301859957/,Краснодар,sale,flat,9,16,1,35.4,4354200,Прикубанский, Летчика Позднякова,,,Дыхание
4,AVA,developer,https://krasnodar.cian.ru/sale/flat/301769654/,Краснодар,sale,flat,15,16,1,32.95,5021580,Карасунский, Богатырская,,,Смородина
5,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301850562/,Краснодар,sale,flat,3,16,1,35.78,4680024,Прикубанский, Западный обход,,,Зелёный театр
6,AVA,developer,https://krasnodar.cian.ru/sale/flat/301513606/,Краснодар,sale,flat,2,21,1,39.05,5490430,мкр. ХБК,Уральская ,100/8,,Режиссёр
7,МАГАЗИН НОВОСТРОЕК,real_estate_agent,https://krasnodar.cian.ru/sale/flat/301856242/,Краснодар,sale,flat,22,24,1,39.27,6276034,Прикубанский, Семигорская,,,Микрорайон Любимово
8,Неометрия,developer,https://krasnodar.cian.ru/sale/flat/299555967/,Краснодар,sale,flat,2,16,1,43.4,9711618,мкр. Черемушки,Старокубанская ,123А,,Айвазовский
9,Владис,real_estate_agent,https://krasnodar.cian.ru/sale/flat/297416561/,Краснодар,sale,flat,3,3,1,30.1,3300000,Прикубанский, Лиссабонская,80,,Португалия
